Date, Open, Close, High, Low,Change %
10/03/2022,4252.55,4259.52,4268.28,4209.8,0.16
09/03/2022,4223.1,4277.88,4299.4,4223.1,1.3
08/03/2022,4202.66,4170.7,4276.94,4157.87,-0.76
07/03/2022,4327.01,4201.09,4327.01,4199.85,-2.91
04/03/2022,4342.12,4328.87,4342.12,4284.98,-0.31
03/03/2022,4401.31,4363.49,4416.78,4345.56,-0.86
02/03/2022,4322.56,4386.54,4401.48,4322.56,1.48
01/03/2022,4363.14,4306.26,4378.45,4279.54,-1.3
28/02/2022,4354.17,4373.94,4388.84,4315.12,0.45
25/02/2022,4298.38,4384.65,4385.34,4286.83,2.01
24/02/2022,4155.77,4288.7,4294.73,4114.65,3.2
23/02/2022,4324.93,4225.5,4341.51,4221.51,-2.3
22/02/2022,4332.74,4304.76,4362.12,4267.11,-0.65
18/02/2022,4384.57,4348.87,4394.6,4327.22,-0.81
17/02/2022,4456.06,4380.26,4456.06,4373.81,-1.7
16/02/2022,4455.75,4475.01,4489.55,4429.68,0.43
15/02/2022,4429.28,4471.07,4472.77,4429.28,0.94
14/02/2022,4412.61,4401.67,4426.22,4364.84,-0.25
11/02/2022,4506.27,4418.64,4526.33,4401.41,-1.94
10/02/2022,4553.24,4504.08,4588.92,4484.31,-1.08
09/02/2022,4547,4587.18,4590.03,4547,0.88
08/02/2022,4480.02,4521.54,4531.32,4465.4,0.93
07/02/2022,4505.75,4483.87,4521.86,4471.47,-0.49
04/02/2022,4482.79,4500.53,4539.66,4451.5,0.4
03/02/2022,4535.41,4477.44,4542.88,4470.39,-1.28
02/02/2022,4566.39,4589.38,4595.31,4544.32,0.5
01/02/2022,4519.57,4546.54,4550.49,4483.53,0.6
31/01/2022,4431.79,4515.55,4516.89,4414.02,1.89
28/01/2022,4336.19,4431.85,4432.72,4292.46,2.21
27/01/2022,4380.58,4326.51,4428.74,4309.5,-1.23
26/01/2022,4408.43,4349.93,4453.23,4304.8,-1.33
25/01/2022,4366.64,4356.45,4411.01,4287.11,-0.23
24/01/2022,4356.32,4410.13,4417.35,4222.62,1.24
21/01/2022,4471.38,4397.94,4494.52,4395.34,-1.64
20/01/2022,4547.35,4482.73,4602.11,4477.95,-1.42
19/01/2022,4588.03,4532.76,4611.55,4530.2,-1.2
18/01/2022,4632.24,4577.11,4632.24,4568.7,-1.19
14/01/2022,4637.99,4662.85,4665.13,4614.75,0.54
13/01/2022,4733.56,4659.03,4744.13,4650.29,-1.57
12/01/2022,4728.59,4726.35,4748.83,4706.71,-0.05
11/01/2022,4669.14,4713.07,4714.13,4638.27,0.94
10/01/2022,4655.34,4670.29,4673.02,4582.24,0.32
07/01/2022,4697.66,4677.03,4707.95,4662.74,-0.44
06/01/2022,4693.39,4696.05,4725.01,4671.26,0.06
05/01/2022,4787.99,4700.58,4797.7,4699.44,-1.83
04/01/2022,4804.51,4793.54,4818.62,4774.27,-0.23
03/01/2022,4778.14,4796.56,4796.64,4758.17,0.39
31/12/2021,4775.21,4766.18,4786.83,4765.75,-0.19
30/12/2021,4794.23,4778.73,4808.93,4775.33,-0.32
29/12/2021,4788.64,4793.06,4804.06,4778.08,0.09
28/12/2021,4795.49,4786.35,4807.02,4780.04,-0.19
27/12/2021,4733.99,4791.19,4791.49,4733.99,1.21
23/12/2021,4703.96,4725.79,4740.74,4703.96,0.46
22/12/2021,4650.36,4696.56,4697.67,4645.53,0.99
21/12/2021,4594.96,4649.23,4651.14,4583.16,1.18
20/12/2021,4587.9,4568.02,4587.9,4531.1,-0.43
17/12/2021,4652.5,4620.64,4666.7,4600.22,-0.68
16/12/2021,4719.13,4668.67,4731.99,4651.89,-1.07
15/12/2021,4636.46,4709.85,4712.6,4611.22,1.58
14/12/2021,4642.99,4634.09,4660.47,4606.52,-0.19
13/12/2021,4710.3,4668.97,4710.3,4667.6,-0.88
10/12/2021,4687.64,4712.02,4713.57,4670.24,0.52
09/12/2021,4691,4667.45,4695.26,4665.98,-0.5
08/12/2021,4690.86,4701.21,4705.06,4674.52,0.22
07/12/2021,4631.97,4686.75,4694.04,4631.97,1.18
06/12/2021,4548.37,4591.67,4612.6,4540.51,0.95
03/12/2021,4589.49,4538.43,4608.03,4495.12,-1.11
02/12/2021,4504.73,4577.1,4595.46,4504.73,1.61
01/12/2021,4602.82,4513.04,4652.94,4510.27,-1.95
30/11/2021,4640.25,4567,4646.02,4560,-1.58
29/11/2021,4628.75,4655.27,4672.95,4625.26,0.57
